"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value","Flag and Footnotes"
"2019","European Union - 28 countries","Person","Total","Total","Baseline projections ","514,436,397",""
"2019","European Union - 28 countries","Person","16 years","Total","Baseline projections ","5,235,779",""
"2019","European Union - 28 countries","Person","17 years","Total","Baseline projections ","5,299,432",""
"2019","European Union - 28 countries","Person","18 years","Total","Baseline projections ","5,466,860",""
"2019","European Union - 28 countries","Person","19 years","Total","Baseline projections ","5,465,394",""
"2019","European Union - 28 countries","Person","20 years","Total","Baseline projections ","5,551,222",""
"2019","European Union - 28 countries","Person","21 years","Total","Baseline projections ","5,656,744",""
"2019","European Union - 28 countries","Person","22 years","Total","Baseline projections ","5,740,663",""
"2019","European Union - 28 countries","Person","23 years","Total","Baseline projections ","5,782,370",""
"2019","European Union - 28 countries","Person","24 years","Total","Baseline projections ","5,910,697",""
"2019","European Union - 28 countries","Person","25 years","Total","Baseline projections ","6,045,948",""
"2019","European Union - 28 countries","Person","26 years","Total","Baseline projections ","6,223,799",""
"2019","European Union - 28 countries","Person","27 years","Total","Baseline projections ","6,363,169",""
"2019","European Union - 28 countries","Person","28 years","Total","Baseline projections ","6,529,362",""
"2019","European Union - 28 countries","Person","29 years","Total","Baseline projections ","6,519,926",""
"2019","European Union - 28 countries","Person","30 years","Total","Baseline projections ","6,603,822",""
"2019","European Union - 28 countries","Person","31 years","Total","Baseline projections ","6,548,938",""
"2019","European Union - 28 countries","Person","32 years","Total","Baseline projections ","6,581,197",""
"2019","European Union - 28 countries","Person","33 years","Total","Baseline projections ","6,606,834",""
"2019","European Union - 28 countries","Person","34 years","Total","Baseline projections ","6,646,107",""
"2019","European Union - 28 countries","Person","35 years","Total","Baseline projections ","6,666,171",""
"2019","European Union - 28 countries","Person","36 years","Total","Baseline projections ","6,826,047",""
"2019","European Union - 28 countries","Person","37 years","Total","Baseline projections ","6,884,150",""
"2019","European Union - 28 countries","Person","38 years","Total","Baseline projections ","7,016,241",""
"2019","European Union - 28 countries","Person","39 years","Total","Baseline projections ","6,971,167",""
"2019","European Union - 28 countries","Person","40 years","Total","Baseline projections ","6,963,748",""
"2019","European Union - 28 countries","Person","41 years","Total","Baseline projections ","6,989,501",""
"2019","European Union - 28 countries","Person","42 years","Total","Baseline projections ","7,030,900",""
"2019","European Union - 28 countries","Person","43 years","Total","Baseline projections ","7,074,143",""
"2019","European Union - 28 countries","Person","44 years","Total","Baseline projections ","7,173,806",""
"2019","European Union - 28 countries","Person","45 years","Total","Baseline projections ","7,113,119",""
"2019","European Union - 28 countries","Person","46 years","Total","Baseline projections ","7,253,356",""
"2019","European Union - 28 countries","Person","47 years","Total","Baseline projections ","7,366,102",""
"2019","European Union - 28 countries","Person","48 years","Total","Baseline projections ","7,371,062",""
"2019","European Union - 28 countries","Person","49 years","Total","Baseline projections ","7,468,432",""
"2019","European Union - 28 countries","Person","50 years","Total","Baseline projections ","7,534,914",""
"2019","European Union - 28 countries","Person","51 years","Total","Baseline projections ","7,561,931",""
"2019","European Union - 28 countries","Person","52 years","Total","Baseline projections ","7,428,970",""
"2019","European Union - 28 countries","Person","53 years","Total","Baseline projections ","7,435,254",""
"2019","European Union - 28 countries","Person","54 years","Total","Baseline projections ","7,510,485",""
"2019","European Union - 28 countries","Person","55 years","Total","Baseline projections ","7,344,722",""
"2019","European Union - 28 countries","Person","56 years","Total","Baseline projections ","7,148,926",""
"2019","European Union - 28 countries","Person","57 years","Total","Baseline projections ","7,083,654",""
"2019","European Union - 28 countries","Person","58 years","Total","Baseline projections ","6,987,211",""
"2019","European Union - 28 countries","Person","59 years","Total","Baseline projections ","6,878,760",""
"2019","European Union - 28 countries","Person","60 years","Total","Baseline projections ","6,722,713",""
"2019","European Union - 28 countries","Person","61 years","Total","Baseline projections ","6,638,980",""
"2019","European Union - 28 countries","Person","62 years","Total","Baseline projections ","6,510,616",""
"2019","European Union - 28 countries","Person","63 years","Total","Baseline projections ","6,384,437",""
"2019","European Union - 28 countries","Person","64 years","Total","Baseline projections ","6,218,797",""
"2019","European Union - 28 countries","Person","65 years","Total","Baseline projections ","6,038,621",""
"2019","European Union - 28 countries","Person","66 years","Total","Baseline projections ","5,967,595",""
"2019","European Union - 28 countries","Person","67 years","Total","Baseline projections ","5,800,475",""
"2019","European Union - 28 countries","Person","68 years","Total","Baseline projections ","5,810,355",""
"2019","European Union - 28 countries","Person","69 years","Total","Baseline projections ","5,722,569",""
"2019","European Union - 28 countries","Person","70 years","Total","Baseline projections ","5,615,070",""
"2019","European Union - 28 countries","Person","71 years","Total","Baseline projections ","5,423,581",""
"2019","European Union - 28 countries","Person","72 years","Total","Baseline projections ","5,075,083",""
"2019","European Union - 28 countries","Person","73 years","Total","Baseline projections ","4,238,025",""
"2019","European Union - 28 countries","Person","74 years","Total","Baseline projections ","4,359,797",""
"2019","European Union - 28 countries","Person","75 years","Total","Baseline projections ","4,194,883",""
"2019","European Union - 28 countries","Person","76 years","Total","Baseline projections ","3,902,496",""
"2019","European Union - 28 countries","Person","77 years","Total","Baseline projections ","3,858,219",""
"2019","European Union - 28 countries","Person","78 years","Total","Baseline projections ","3,944,379",""
"2019","European Union - 28 countries","Person","79 years","Total","Baseline projections ","3,710,835",""
"2019","European Union - 28 countries","Person","80 years","Total","Baseline projections ","3,494,990",""
"2019","European Union - 28 countries","Person","81 years","Total","Baseline projections ","3,248,022",""
"2019","European Union - 28 countries","Person","82 years","Total","Baseline projections ","3,052,812",""
"2019","European Union - 28 countries","Person","83 years","Total","Baseline projections ","2,821,196",""
"2019","European Union - 28 countries","Person","84 years","Total","Baseline projections ","2,566,408",""
"2019","European Union - 28 countries","Person","85 years","Total","Baseline projections ","2,250,328",""
"2019","European Union - 28 countries","Person","86 years","Total","Baseline projections ","2,072,194",""
"2019","European Union - 28 countries","Person","87 years","Total","Baseline projections ","1,843,366",""
"2019","European Union - 28 countries","Person","88 years","Total","Baseline projections ","1,666,494",""
"2019","European Union - 28 countries","Person","89 years","Total","Baseline projections ","1,380,490",""
"2019","European Union - 28 countries","Person","90 years","Total","Baseline projections ","1,167,745",""
"2019","European Union - 28 countries","Person","91 years","Total","Baseline projections ","944,291",""
"2019","European Union - 28 countries","Person","92 years","Total","Baseline projections ","774,548",""
"2019","European Union - 28 countries","Person","93 years","Total","Baseline projections ","615,756",""
"2019","European Union - 28 countries","Person","94 years","Total","Baseline projections ","469,330",""
"2019","European Union - 28 countries","Person","95 years","Total","Baseline projections ","356,014",""
"2019","European Union - 28 countries","Person","96 years","Total","Baseline projections ","263,966",""
"2019","European Union - 28 countries","Person","97 years","Total","Baseline projections ","190,623",""
"2019","European Union - 28 countries","Person","98 years","Total","Baseline projections ","129,402",""
"2019","European Union - 28 countries","Person","99 years","Total","Baseline projections ","67,162",""
"2019","European Union - 28 countries","Person","100 years or over","Total","Baseline projections ","114,991",""
"2019","Belgium","Person","Total","Total","Baseline projections ","11,507,959",""
"2019","Belgium","Person","16 years","Total","Baseline projections ","123,486",""
"2019","Belgium","Person","17 years","Total","Baseline projections ","125,789",""
"2019","Belgium","Person","18 years","Total","Baseline projections ","128,613",""
"2019","Belgium","Person","19 years","Total","Baseline projections ","127,984",""
"2019","Belgium","Person","20 years","Total","Baseline projections ","129,850",""
"2019","Belgium","Person","21 years","Total","Baseline projections ","133,127",""
"2019","Belgium","Person","22 years","Total","Baseline projections ","134,941",""
"2019","Belgium","Person","23 years","Total","Baseline projections ","135,591",""
"2019","Belgium","Person","24 years","Total","Baseline projections ","138,367",""
"2019","Belgium","Person","25 years","Total","Baseline projections ","144,537",""
"2019","Belgium","Person","26 years","Total","Baseline projections ","150,466",""
"2019","Belgium","Person","27 years","Total","Baseline projections ","153,268",""
"2019","Belgium","Person","28 years","Total","Baseline projections ","153,383",""
"2019","Belgium","Person","29 years","Total","Baseline projections ","151,211",""
"2019","Belgium","Person","30 years","Total","Baseline projections ","150,986",""
"2019","Belgium","Person","31 years","Total","Baseline projections ","148,742",""
"2019","Belgium","Person","32 years","Total","Baseline projections ","148,651",""
"2019","Belgium","Person","33 years","Total","Baseline projections ","145,591",""
"2019","Belgium","Person","34 years","Total","Baseline projections ","147,288",""
"2019","Belgium","Person","35 years","Total","Baseline projections ","147,497",""
"2019","Belgium","Person","36 years","Total","Baseline projections ","150,517",""
"2019","Belgium","Person","37 years","Total","Baseline projections ","152,251",""
"2019","Belgium","Person","38 years","Total","Baseline projections ","153,854",""
"2019","Belgium","Person","39 years","Total","Baseline projections ","151,541",""
"2019","Belgium","Person","40 years","Total","Baseline projections ","149,405",""
"2019","Belgium","Person","41 years","Total","Baseline projections ","147,511",""
"2019","Belgium","Person","42 years","Total","Baseline projections ","145,725",""
"2019","Belgium","Person","43 years","Total","Baseline projections ","143,297",""
"2019","Belgium","Person","44 years","Total","Baseline projections ","146,925",""
"2019","Belgium","Person","45 years","Total","Baseline projections ","150,202",""
"2019","Belgium","Person","46 years","Total","Baseline projections ","154,796",""
"2019","Belgium","Person","47 years","Total","Baseline projections ","157,654",""
"2019","Belgium","Person","48 years","Total","Baseline projections ","158,885",""
