,location,age,number_people
3,European Union - 28 countries,18,5466860.0
4,European Union - 28 countries,19,5465394.0
5,European Union - 28 countries,20,5551222.0
6,European Union - 28 countries,21,5656744.0
7,European Union - 28 countries,22,5740663.0
8,European Union - 28 countries,23,5782370.0
9,European Union - 28 countries,24,5910697.0
10,European Union - 28 countries,25,6045948.0
11,European Union - 28 countries,26,6223799.0
12,European Union - 28 countries,27,6363169.0
13,European Union - 28 countries,28,6529362.0
14,European Union - 28 countries,29,6519926.0
15,European Union - 28 countries,30,6603822.0
16,European Union - 28 countries,31,6548938.0
17,European Union - 28 countries,32,6581197.0
18,European Union - 28 countries,33,6606834.0
19,European Union - 28 countries,34,6646107.0
20,European Union - 28 countries,35,6666171.0
21,European Union - 28 countries,36,6826047.0
22,European Union - 28 countries,37,6884150.0
23,European Union - 28 countries,38,7016241.0
24,European Union - 28 countries,39,6971167.0
25,European Union - 28 countries,40,6963748.0
26,European Union - 28 countries,41,6989501.0
27,European Union - 28 countries,42,7030900.0
28,European Union - 28 countries,43,7074143.0
29,European Union - 28 countries,44,7173806.0
30,European Union - 28 countries,45,7113119.0
31,European Union - 28 countries,46,7253356.0
32,European Union - 28 countries,47,7366102.0
33,European Union - 28 countries,48,7371062.0
34,European Union - 28 countries,49,7468432.0
35,European Union - 28 countries,50,7534914.0
36,European Union - 28 countries,51,7561931.0
37,European Union - 28 countries,52,7428970.0
38,European Union - 28 countries,53,7435254.0
39,European Union - 28 countries,54,7510485.0
40,European Union - 28 countries,55,7344722.0
41,European Union - 28 countries,56,7148926.0
42,European Union - 28 countries,57,7083654.0
43,European Union - 28 countries,58,6987211.0
44,European Union - 28 countries,59,6878760.0
45,European Union - 28 countries,60,6722713.0
46,European Union - 28 countries,61,6638980.0
47,European Union - 28 countries,62,6510616.0
48,European Union - 28 countries,63,6384437.0
49,European Union - 28 countries,64,6218797.0
50,European Union - 28 countries,65,6038621.0
51,European Union - 28 countries,66,5967595.0
52,European Union - 28 countries,67,5800475.0
53,European Union - 28 countries,68,5810355.0
54,European Union - 28 countries,69,5722569.0
55,European Union - 28 countries,70,5615070.0
56,European Union - 28 countries,71,5423581.0
57,European Union - 28 countries,72,5075083.0
58,European Union - 28 countries,73,4238025.0
59,European Union - 28 countries,74,4359797.0
60,European Union - 28 countries,75,4194883.0
61,European Union - 28 countries,76,3902496.0
62,European Union - 28 countries,77,3858219.0
63,European Union - 28 countries,78,3944379.0
64,European Union - 28 countries,79,3710835.0
65,European Union - 28 countries,80,3494990.0
66,European Union - 28 countries,81,3248022.0
67,European Union - 28 countries,82,3052812.0
68,European Union - 28 countries,83,2821196.0
69,European Union - 28 countries,84,2566408.0
70,European Union - 28 countries,85,2250328.0
71,European Union - 28 countries,86,2072194.0
72,European Union - 28 countries,87,1843366.0
